index,postal_codes,places
407,M4P,Toronto
408,M4R,Toronto
409,M4S,Toronto
410,M4T,Toronto
411,M4V,Toronto
412,M4W,Toronto
413,M4X,Toronto
414,M4Y,Toronto
415,M5A,Toronto
416,M5B,Toronto
417,M5C,Toronto
418,M5E,Toronto
419,M5G,Toronto
420,M5H,Toronto
421,M5J,Toronto
422,M5K,Toronto
423,M5L,Toronto
424,M5M,
425,M5N,Toronto
426,M5P,Toronto
427,M5R,Toronto
428,M5S,Toronto
429,M5T,Toronto
430,M5V,Toronto
431,M5W,Toronto
432,M5X,Toronto
433,M6A,North York
434,M6B,Toronto
435,M6C,Toronto
436,M6E,Toronto
437,M6G,Toronto
438,M6H,Toronto
439,M6J,Toronto
440,M6K,Toronto
441,M6L,Toronto
442,M6M,Toronto
443,M6N,
444,M6P,Toronto
445,M6R,Toronto
446,M6S,Toronto
447,M7A,Toronto
448,M7X,Toronto
449,M7Y,Toronto
450,M7Z,Toronto
451,M8V,Etobicoke
452,M8W,Etobicoke
453,M8X,Etobicoke
454,M8Y,Etobicoke
455,M8Z,Etobicoke
456,M9A,Etobicoke
457,M9B,Etobicoke
458,M9C,Etobicoke
459,M9L,North York
460,M9M,North York
461,M9N,York
462,M9P,Etobicoke
463,M9R,Etobicoke
464,M9V,Etobicoke
465,M9W,Etobicoke
466,M1B,Scarborough
467,M1C,Scarborough
468,M1H,Scarborough
469,M1K,Scarborough
470,M1M,Scarborough
471,M1N,Scarborough
472,M1P,Scarborough
473,M2J,North York
474,M2K,North York
475,M2N,North York
476,M3A,North York
477,M3B,North York
478,M3C,North York
479,M3H,North York
480,M3J,North York
481,M3M,North York
482,M3N,North York
483,M4B,East York
484,M4C,Toronto
485,M4E,Toronto
486,M4G,East York
487,M4H,Toronto
488,M4J,Toronto
489,M4K,Toronto
490,M4L,Toronto
491,M4M,Toronto
492,M4P,East York
493,M4R,Toronto
494,M4S,Toronto
495,M4T,Toronto
496,M4V,Toronto
497,M4W,Toronto
498,M4X,Toronto
499,M4Y,Toronto
500,M5A,Toronto
501,M5B,Toronto
502,M5E,Toronto
503,M5H,Toronto
504,M5J,Toronto
505,M5M,North York
506,M5N,Toronto
507,M5P,York
508,M5R,Toronto
509,M5S,Toronto
510,M5T,Toronto
511,M5V,Toronto
512,M6C,York
513,M6G,Toronto
514,M6J,Toronto
515,M6K,Toronto
516,M6M,York
517,M6N,York
518,M6P,Toronto
519,M6R,Toronto
520,M8W,Etobicoke
521,M8X,Etobicoke
522,M8Y,Etobicoke
523,M8Z,Etobicoke
524,M9B,Etobicoke
525,M9L,North York
526,M9V,Etobicoke
527,M9W,Etobicoke
528,M1B,Toronto
529,M1E,Scarborough
530,M1H,Scarborough
531,M1L,Scarborough
532,M1M,Scarborough
533,M1N,Scarborough
534,M1P,Scarborough
535,M1R,Scarborough
536,M1S,Scarborough
537,M1T,Toronto
