PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
M9C3G6,M9C,43.646613,-79.571947,Etobicoke,M,35,Urban
M9C3G7,M9C,43.64864,-79.574604,Etobicoke,M,35,Urban
M9C3G8,M9C,43.648382,-79.573135,Etobicoke,M,35,Urban
M9C3G9,M9C,43.648738,-79.574761,Etobicoke,M,35,Urban
M9C3H1,M9C,43.648623,-79.57527,Etobicoke,M,35,Urban
M9C3H2,M9C,43.64871201,-79.57490997,Etobicoke,M,35,Urban
M9C3H3,M9C,43.648254,-79.5773195,Etobicoke,M,35,Urban
M9C3H4,M9C,43.64837,-79.576792,Etobicoke,M,35,Urban
M9C3H5,M9C,43.648285,-79.57759,Etobicoke,M,35,Urban
M9C3H6,M9C,43.648058,-79.578452,Etobicoke,M,35,Urban
M9C3H7,M9C,43.64807775,-79.57823645,Etobicoke,M,35,Urban
M9C3H8,M9C,43.64707432,-79.58052681,Etobicoke,M,35,Urban
M9C3H9,M9C,43.648885,-79.580664,Etobicoke,M,35,Urban
M9C3J1,M9C,43.648872,-79.58067,Etobicoke,M,35,Urban
M9C3J2,M9C,43.642651,-79.575626,Etobicoke,M,35,Urban
M9C3J3,M9C,43.642705,-79.575907,Etobicoke,M,35,Urban
M9C3J4,M9C,43.643665,-79.577086,Etobicoke,M,35,Urban
M9C3J5,M9C,43.6435385,-79.579846,Etobicoke,M,35,Urban
M9C3J6,M9C,43.644411,-79.578885,Etobicoke,M,35,Urban
M9C3J7,M9C,43.642495,-79.580943,Etobicoke,M,35,Urban
M9C3J8,M9C,43.6460095,-79.580446,Etobicoke,M,35,Urban
M9C3J9,M9C,43.645189,-79.580021,Etobicoke,M,35,Urban
M9C3K1,M9C,43.645963,-79.58039,Etobicoke,M,35,Urban
M9C3K2,M9C,43.648154,-79.581727,Etobicoke,M,35,Urban
M9C3K3,M9C,43.648148,-79.58174,Etobicoke,M,35,Urban
M9C3K4,M9C,43.644707,-79.584184,Etobicoke,M,35,Urban
M9C3K5,M9C,43.64332912,-79.58561982,Etobicoke,M,35,Urban
M9C3K6,M9C,43.646136,-79.570452,Etobicoke,M,35,Urban
M9C3K7,M9C,43.6462135,-79.5698595,Etobicoke,M,35,Urban
M9C3K8,M9C,43.648596,-79.572289,Etobicoke,M,35,Urban
M9C3K9,M9C,43.648636,-79.572327,Etobicoke,M,35,Urban
M9C3L1,M9C,43.650436,-79.572927,Etobicoke,M,35,Urban
M9C3L2,M9C,43.650598,-79.5730015,Etobicoke,M,35,Urban
M9C3L3,M9C,43.65213,-79.572511,Etobicoke,M,35,Urban
M9C3L4,M9C,43.6516,-79.572588,Etobicoke,M,35,Urban
M9C3L5,M9C,43.643926,-79.570588,Etobicoke,M,35,Urban
M9C3L6,M9C,43.643954,-79.5706,Etobicoke,M,35,Urban
M9C3L7,M9C,43.645089,-79.571922,Etobicoke,M,35,Urban
M9C3L8,M9C,43.645378,-79.571948,Etobicoke,M,35,Urban
M9C3L9,M9C,43.64521661,-79.57180442,Etobicoke,M,35,Urban
M9C3M1,M9C,43.645781,-79.57286,Etobicoke,M,35,Urban
M9C3M2,M9C,43.645761,-79.572827,Etobicoke,M,35,Urban
M9C3M3,M9C,43.648326,-79.573413,Etobicoke,M,35,Urban
M9C3M4,M9C,43.648317,-79.573421,Etobicoke,M,35,Urban
M9C3M5,M9C,43.646313,-79.573575,Etobicoke,M,35,Urban
M9C3M6,M9C,43.647513,-79.574525,Etobicoke,M,35,Urban
M9C3M7,M9C,43.64920534,-79.57515321,Etobicoke,M,35,Urban
M9C3M8,M9C,43.648849,-79.575094,Etobicoke,M,35,Urban
M9C3M9,M9C,43.650677,-79.575582,Etobicoke,M,35,Urban
M9C3N1,M9C,43.65103952,-79.57573992,Etobicoke,M,35,Urban
M9C3N2,M9C,43.64331,-79.574492,Etobicoke,M,35,Urban
M9C3N3,M9C,43.643484,-79.574572,Etobicoke,M,35,Urban
M9C3N4,M9C,43.645325,-79.574435,Etobicoke,M,35,Urban
M9C3N5,M9C,43.6448987,-79.57453229,Etobicoke,M,35,Urban
M9C3N6,M9C,43.643703,-79.574854,Etobicoke,M,35,Urban
M9C3N7,M9C,43.64851244,-79.57616542,Etobicoke,M,35,Urban
M9C3N8,M9C,43.64857055,-79.57617722,Etobicoke,M,35,Urban
M9C3N9,M9C,43.65183,-79.577356,Etobicoke,M,35,Urban
M9C3P1,M9C,43.6440261,-79.57658321,Etobicoke,M,35,Urban
M9C3P2,M9C,43.643677,-79.576745,Etobicoke,M,35,Urban
M9C3P3,M9C,43.642497,-79.577112,Etobicoke,M,35,Urban
M9C3P4,M9C,43.642359,-79.577199,Etobicoke,M,35,Urban
M9C3P5,M9C,43.644346,-79.579246,Etobicoke,M,35,Urban
M9C3P6,M9C,43.645482,-79.579924,Etobicoke,M,35,Urban
M9C3P7,M9C,43.646207,-79.580356,Etobicoke,M,35,Urban
M9C3P8,M9C,43.647013,-79.580845,Etobicoke,M,35,Urban
M9C3P9,M9C,43.647095,-79.580896,Etobicoke,M,35,Urban
M9C3R1,M9C,43.649073,-79.582239,Etobicoke,M,35,Urban
M9C3R2,M9C,43.648392,-79.585005,Etobicoke,M,35,Urban
M9C3R3,M9C,43.6478855,-79.584529,Etobicoke,M,35,Urban
M9C3R4,M9C,43.647857,-79.58584,Etobicoke,M,35,Urban
M9C3R5,M9C,43.64785,-79.585833,Etobicoke,M,35,Urban
M9C3R6,M9C,43.646908,-79.5839,Etobicoke,M,35,Urban
M9C3R7,M9C,43.642685,-79.581002,Etobicoke,M,35,Urban
M9C3R8,M9C,43.642582,-79.580856,Etobicoke,M,35,Urban
M9C3R9,M9C,43.644897,-79.584159,Etobicoke,M,35,Urban
M9C3S1,M9C,43.649665,-79.589724,Etobicoke,M,35,Urban
