age,income,avg_children,youth_ratio,pcode
37.9,34696,1.117015263,19.2,L8K
40.5,25802,1.256551724,16,L8J
47.2,30556,1.116449511,12.5,L8H
40.6,29660,1.114880493,17.6,L8G
 ,,,,
46.4,35682,1.123689727,13.4,L7V
49.1,34256,1.180582524,9.9,L7T
44.5,34216,1.129268293,13,L7S
42.3,37235,1.077319588,16.4,L7R
46.6,35648,1.132885906,13.8,L7P
39,40443,1.10106383,19.4,L7N
40.4,40087,1.111712285,19.4,L7M
43.1,37605,1.037313433,14.3,L7L
40.2,35950,1.093099671,17.7,L7K
39.1,39506,1.103975535,18.9,L7J
38.6,37050,1.10513927,19.1,L7G
38.6,36129,1.065989848,19.2,L7E
39.8,38908,1.052826691,18.9,L7C
33.3,29541,1.114743691,24.1,L7B
38.9,31657,1.132717346,17,L7A
37.1,25159,1.106735252,18.8,L6Z
35.9,28987,1.128447755,21,L6Y
41.1,29245,1.182212581,16.3,L6X
37.9,27693,1.179888657,18.9,L6W
38.2,26481,1.218359375,19.1,L6V
39.5,29712,1.144904459,16.8,L6T
35.4,24185,1.113572589,21.5,L6S
35.2,24830,1.101611884,22,L6R
36.1,39703,1.10710827,23.2,L6P
44.2,38186,1.068622315,16.2,L6M
44.8,30283,1.1447178,12.7,L6L
42.3,42590,1.078780909,16.9,L6K
39.2,35618,1.100319197,17.8,L6J
38.3,25267,0.963099631,11.5,L6H
36.9,27608,1.028960223,21.6,L6G
37.8,27320,1.014064016,19.7,L6E
35.4,32032,1.063478261,23.6,L6C
36.6,31552,1.099100428,21,L6B
35.3,29654,1.092666006,21.5,L6A
37.9,26285,1.108967936,17,L5W
 ,,,,
 ,,,,
40.5,26676,1.111322913,14.6,L5S
 ,,,,
38.2,33328,1.104004967,17.8,L5P
37.7,29172,1.092842131,18.6,L5N
41.5,31409,1.124310289,14.7,L5M
40.6,29560,1.158798283,18.3,L5L
42.1,34037,1.121964382,15.2,L5K
42.3,40526,1.083333333,15.5,L5J
42.8,35829,1.095913261,14.9,L5H
43.9,33698,1.084810127,14,L5G
41.1,27679,1.083133109,15,L5E
39.1,26002,1.080019881,15.9,L5C
40.8,26061,1.148124191,16.4,L5B
39,28817,1.129068047,16,L5A
43.3,29256,1.108949416,15.3,L4Z
39.1,25197,1.148396719,18.8,L4Y
45.6,31856,1.072609633,12.8,L4X
 ,,,,
37.5,22182,1.199394627,19.5,L4V
39.4,25733,1.023303633,17.3,L4T
46.5,26547,1.202209945,13.5,L4S
38.8,32130,1.153447382,18.1,L4R
38.7,31459,1.188655396,18.6,L4P
39.6,29328,1.206909789,16.6,L4N
45.2,31927,1.089443997,12.7,L4M
41.5,29373,1.051813472,14.9,L4L
41.1,32206,1.073268774,17,L4K
34.7,34450,1.107284529,23.9,L4J
39.6,36082,1.100794439,17.8,L4H
