PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
P0H2L0,P0H,45.895142,-79.256379,Trout Creek,P,35,Rural
P0H2M0,P0H,46.288025,-80.112667,Verner,P,35,Rural
P0H2M2,P0H,46.346208,-78.991961,North Bay,P,35,Rural
P0H2N0,P0H,46.427395,-80.374697,Warren,P,35,Rural
P0H2R0,P0H,45.988615,-79.646417,Restoule,P,35,Rural
P0H2S0,P0H,46.118417,-78.827806,Kiosk,P,35,Rural
P0H2T0,P0H,46.365794,-79.920694,Sturgeon Falls,P,35,Rural
P0H2V0,P0H,47.133555,-79.794255,Temagami,P,35,Rural
P0H2W0,P0H,46.346208,-78.991961,North Bay,P,35,Rural
P0H3E0,P0H,46.346208,-78.991961,North Bay,P,35,Rural
P0J0Y0,P0J,47.664314,-80.254687,Charlton,P,35,Rural
P0J1A0,P0J,47.675584,-79.542384,Belle Vallee,P,35,Rural
P0J1B0,P0J,47.809566,-80.005923,Charlton Station,P,35,Rural
P0J1C0,P0J,47.397222,-79.68396,Cobalt,P,35,Rural
P0J1E0,P0J,47.727967,-79.950753,Earlton,P,35,Rural
P0J1G0,P0J,47.755236,-80.738089,Elk Lake,P,35,Rural
P0J1H0,P0J,47.825013,-79.88293,Englehart,P,35,Rural
P0J1J0,P0J,47.540506,-80.440359,Gowganda,P,35,Rural
P0J1K0,P0J,47.44316,-79.643783,North Cobalt,P,35,Rural
P0J1L0,P0J,47.741841,-79.717407,Hilliardton,P,35,Rural
P0J1M0,P0J,47.649356,-80.161388,Kenabeek,P,35,Rural
P0J1N0,P0J,47.327428,-79.81141,Latchford,P,35,Rural
P0J1P0,P0J,47.54061,-79.67045,New Liskeard,P,35,Rural
P0J1R0,P0J,47.238206,-79.702422,North Cobalt,P,35,Rural
P0J1S0,P0J,47.618381,-79.780992,Thornloe,P,35,Rural
P0J1T0,P0J,47.496887,-79.694907,New Liskeard,P,35,Rural
P0J1V0,P0J,47.509574,-79.677934,New Liskeard,P,35,Rural
P0J1X0,P0J,47.664314,-80.254687,Charlton,P,35,Rural
P0J1Z0,P0J,47.664314,-80.254687,Charlton,P,35,Rural
P0J2T0,P0J,47.664314,-80.254687,Charlton,P,35,Rural
P0K1A0,P0K,48.13458,-80.076864,Chaput Hughes,P,35,Rural
P0K1B0,P0K,48.131754,-79.832163,Dobie,P,35,Rural
P0K1C0,P0K,48.468963,-80.276557,Holtyre,P,35,Rural
P0K1E0,P0K,48.759751,-80.68843,Iroquois Falls,P,35,Rural
P0K1E6,P0K,48.247538,-80.690275,Val Gagne,P,35,Rural
P0K1G0,P0K,48.760209,-80.60882,Iroquois Falls A,P,35,Rural
P0K1H0,P0K,48.76675,-80.688697,Iroquois Falls M,P,35,Rural
P0K1J0,P0K,48.142721,-79.568698,Kearns,P,35,Rural
P0K1K0,P0K,48.133044,-79.952586,King Kirkland,P,35,Rural
P0K1L0,P0K,48.096456,-79.721002,Larder Lake,P,35,Rural
P0K1M0,P0K,47.934921,-80.651672,Matachewan,P,35,Rural
P0K1N0,P0K,48.531098,-80.46249,Matheson,P,35,Rural
P0K1P0,P0K,48.613805,-80.666109,Monteith,P,35,Rural
P0K1R0,P0K,48.284136,-80.223894,Ramore,P,35,Rural
